Gmt time,Open,High,Low,Close,Volume,ema25,atr,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,bbu_minus_kcu,squeeze,squeezeCloseToEma,posibleBreak,squezzeArea,squeezeCloseToEmaArea,posibleBreakArea,trendLong,trendDaylyShortTerm,trendDaylyLongTerm
2022-09-01 17:30:00,257.386,257.487,257.096,257.256,2.2596,256.6474586046789,0.5990559650124159,255.60395109493209,256.50355,257.40314890506795,0.701431933451161,0.9182141595332047,-0.2474673414501467,2,0,0,256.596,,,0,1,0
2022-09-01 17:35:00,257.256,257.327,256.817,257.017,2.0184,256.6758848658574,0.5903546339658406,255.702618023377,256.5651,257.42758197662295,0.6723299284454305,0.7619764889287464,-0.25983272260771173,2,0,0,256.317,,,0,1,0
2022-09-01 17:40:00,257.026,257.027,256.706,256.756,1.6584,256.68204756848377,0.5823257311684106,255.72760002328317,256.5866,257.4455999767168,0.669559498989271,0.5986030294479532,-0.21425141782520996,2,0,0,256.206,,,0,1,0
2022-09-01 17:45:00,256.746,256.756,256.226,256.256,1.572,256.6492746786004,0.5748780339525799,255.70292936192877,256.57360000000006,257.4442706380713,0.6786907445436898,0.3176118579675415,-0.18283300460950613,1,1,0,257.256,257.556,,0,1,0
2022-09-01 17:50:00,256.276,256.417,256.196,256.206,1.572,256.6151766264004,0.5669639446038376,255.67123141892338,256.55654999999996,257.44186858107656,0.6901547289099339,0.3020204209575776,-0.09198709563463581,1,1,0,256.917,257.217,,0,1,0
2022-09-01 17:55:00,256.217,256.556,256.216,256.416,1.6787999999999998,256.5998553474465,0.5592139311843822,255.65926328597521,256.546,257.43273671402477,0.6912886687181075,0.4266975202763721,-0.06132318395202674,1,1,0,257.056,257.356,,0,1,0
2022-09-01 18:00:00,256.437,256.727,256.036,256.706,2.4372,256.6080203207199,0.5520607794531853,255.67236260148675,256.55994999999996,257.4475373985132,0.6919142278545182,0.5822735880684486,-0.10308822346581792,2,0,0,255.536,,,0,1,0
2022-09-01 18:05:00,256.727,256.877,256.416,256.636,2.4204,256.61017260374143,0.5450688244648635,255.67921629506935,256.56690000000003,257.4545837049307,0.691970558112274,0.5389215210418827,-0.09674423876458604,2,0,0,255.916,,,0,1,0
2022-09-01 18:10:00,256.636,256.727,256.286,256.647,2.0268,256.6130054803767,0.5376715107131494,255.68963491781014,256.57645,257.46326508218993,0.6912677154819921,0.5397771764468297,-0.08593639067726144,2,0,0,255.786,,,0,1,0
2022-09-01 18:15:00,256.657,256.837,256.506,256.656,2.1084,256.616312751117,0.5310189218229637,255.72945554200314,256.5994,257.46934445799684,0.6780565020782211,0.5325308124442482,-0.057837826978243356,2,0,0,256.006,,,0,1,0
2022-09-01 18:20:00,256.656,257.567,256.656,257.466,2.3376,256.6816733087234,0.5259696985858839,255.71084059983488,256.65285,257.5948594001651,0.7340728148275815,0.9316039733029742,-0.10001981005052585,2,0,0,256.156,,,0,1,0
2022-09-01 18:25:00,257.457,258.146,257.426,257.866,2.3628000000000005,256.77277536189854,0.5221547269937531,255.67011995876433,256.7323,257.79448004123566,0.8274611657634535,1.0336665894612018,-0.05383924419754749,2,0,0,256.926,,,0,1,0
2022-09-01 18:30:00,257.866,258.387,257.826,258.207,2.5764,256.8831003340602,0.5181254422951719,255.7138538366458,256.8558,257.9977461633542,0.889172962692835,1.0916215857458558,0.008409667009857458,0,0,0,,,,0,1,0
2022-09-01 18:35:00,258.216,258.556,257.837,258.127,2.682,256.97878492374787,0.5147063015106083,255.80619468417328,256.97135000000003,258.13650531582675,0.9068367472301776,0.9959210091145665,-0.0028943713418811967,2,0,0,257.337,,,0,1,0
2022-09-01 18:40:00,258.126,258.257,257.796,257.857,2.6004,257.04633992961345,0.5120183888123193,255.88146887574428,257.0534,258.2253311242558,0.9118191972996658,0.842852913182223,0.025017121579310242,0,0,0,,,,0,1,0
2022-09-01 18:45:00,257.877,258.177,257.637,257.766,2.1384000000000003,257.1016983965663,0.509848027542978,255.90773931018427,257.1069,258.30606068981575,0.9328109745913015,0.7748172140721542,0.04425278263227028,0,0,0,,,,0,1,0
2022-09-01 18:50:00,257.796,258.397,257.656,258.346,2.076,257.19741390452276,0.5088677478383968,255.87658903449608,257.18285000000003,258.489110965504,1.0158227622906832,0.9452211429096914,0.07814190662367082,0,0,0,,,,0,1,0
2022-09-01 18:55:00,258.346,258.476,257.896,258.097,2.2572,257.2666128349441,0.5081882144757247,255.89510811705176,257.24735,258.59959188294823,1.0513164726075779,0.8141634683535787,0.10804844872325248,0,0,0,,,,0,1,0
2022-09-01 19:00:00,258.097,258.816,257.946,258.416,2.7456,257.35502723225613,0.508888024671393,255.858585192437,257.3038,258.749014807563,1.1233528673599105,0.884787089842871,0.098951700407099,0,0,0,,,,0,1,0
2022-09-01 19:05:00,258.416,259.167,258.376,259.017,2.106,257.48287129131336,0.5103414532153797,255.75867904708832,257.38585,259.0130209529117,1.2643826013836295,1.0012226887043392,0.1773448083420135,0,0,0,,,,0,1,0
2022-09-01 19:10:00,259.056,259.507,258.646,259.267,2.172,257.62011196121233,0.5129156133764456,255.6666151335942,257.4864,259.3061848664058,1.4134997937023337,0.9892336541727679,0.2654302594141882,0,0,0,,,,0,1,0
2022-09-01 19:15:00,259.277,259.366,258.756,258.777,1.9248,257.7091033488114,0.5161237875997713,255.68503413813008,257.5744,259.46376586187,1.4670447543466754,0.8182549299397466,0.33194026506805585,0,0,0,,,,0,1,0
2022-09-01 19:20:00,258.776,259.087,258.476,258.797,2.3916,257.79278770659516,0.5189389777182775,255.75472135370273,257.67645000000005,259.59817864629736,1.49158267765433,0.7915474050301012,0.38186024919087913,0,0,0,,,,0,1,0
2022-09-01 19:25:00,258.827,258.827,258.396,258.447,2.3796,257.8431117291648,0.5215616664895799,255.95290153019542,257.78599999999994,259.6190984698045,1.4221862085641115,0.680295824498322,0.393953253374832,0,0,0,,,,0,1,0
2022-09-01 19:30:00,258.456,258.707,258.216,258.377,2.46,257.88418005769057,0.5236520327870929,256.19640578056527,257.89455000000004,259.5926942194348,1.3169291242756127,0.6420521279872674,0.35480092837940447,0,0,0,,,,0,1,0
2022-09-01 19:35:00,258.376,258.736,258.266,258.496,2.1180000000000003,257.9312431301759,0.5255202633011701,256.4251599688889,257.99855,259.5719400311111,1.2196890495013268,0.6580822269633508,0.3151794344419159,0,0,0,,,,0,1,0
2022-09-01 19:40:00,258.507,258.716,258.196,258.596,2.2464,257.98237827400857,0.5272298197552165,256.6175543578513,258.09305,259.5685456421487,1.1433827002693027,0.6704342546439426,0.2756670070670566,0,0,0,,,,0,1,0
2022-09-01 19:45:00,258.587,258.937,258.447,258.686,2.4192,258.03650302216175,0.5293599745176955,256.8610907874349,258.19555,259.5300092125652,1.033681031733622,0.6837635783027008,0.20159520939603226,0,0,0,,,,0,1,0
2022-09-01 19:50:00,258.706,259.587,258.706,259.587,2.0508,258.155772020457,0.532049609125174,257.0768602315338,258.34254999999996,259.60823976846615,0.9798538943477865,0.9916094097482123,0.08357947988451997,0,0,0,,,,0,1,0
2022-09-01 19:55:00,259.577,260.776,259.576,260.566,1.9716,258.34117417272955,0.536266077876496,257.17095622486966,258.53805,259.90514377513034,1.057557117902253,1.2417011315871966,0.052736847366020356,0,0,0,,,,0,1,0
2022-09-02 13:30:00,261.786,261.786,260.526,261.376,2.2356,258.57462231328884,0.5422632154646319,256.9737209770548,258.73355000000004,260.49337902294525,1.360340800754453,1.2507689569687834,0.2558679930632479,0,0,0,,,,0,1,0
2022-09-02 13:35:00,261.407,262.307,261.266,262.167,2.166,258.8509590584205,0.5490980674158565,256.68603522523654,258.94860000000006,261.2111647747636,1.7475010675968266,1.2112282565117505,0.5916071762989645,0,0,0,,,,0,1,0
2022-09-02 13:40:00,262.187,262.207,260.996,261.217,2.5428,259.03296220777275,0.55757773803997,256.6603027636557,259.0991,261.53789723634435,1.8825208087132128,0.9342099393171819,0.630773694876325,0,0,0,,,,0,1,0
2022-09-02 13:45:00,261.227,261.946,261.147,261.946,2.7192,259.25704203794413,0.5660901490214428,256.600467023031,259.29004999999995,261.9796329769689,2.074574768271247,0.9937475479922212,0.8213783442121212,0,0,0,,,,0,1,0
2022-09-02 13:50:00,261.947,262.867,261.896,262.356,2.5944,259.49542341964076,0.5757953679993653,256.5993988612978,259.515,262.4306011387022,2.246961554208571,0.987206559616144,0.9733231376364415,0,0,0,,,,0,1,0
2022-09-02 13:55:00,262.357,262.746,261.596,261.666,2.322,259.6623908488992,0.5867198616685697,256.76684013346164,259.71,262.6531598665383,2.266497144151814,0.8322959147137002,0.9569559608121949,0,0,0,,,,0,1,0
2022-09-02 14:00:00,261.707,261.887,260.876,261.107,2.2920000000000003,259.7735146297531,0.5976168238050997,256.91476150583475,259.84804999999994,262.78133849416514,2.257695213926137,0.714597030347398,0.9486778175557902,0,0,0,,,,0,1,0
2022-09-02 14:05:00,261.067,261.527,260.776,261.507,2.2896,259.90685965823366,0.608426389251846,257.11594975366876,260.01855,262.92115024633125,2.232610132108841,0.7563994132297984,0.9764572532085367,0,0,0,,,,0,1,0
2022-09-02 14:10:00,261.486,262.716,261.466,262.436,2.5596,260.1014089152926,0.6203932407212487,257.2331368018637,260.21954999999997,263.20596319813626,2.295302715062178,0.8710889707732361,0.9763838234061382,0,0,0,,,,0,1,0
2022-09-02 14:15:00,262.417,263.067,262.417,262.547,2.1564,260.28953130642395,0.6322692264619565,257.29956260457874,260.39605,263.49253739542127,2.378290604194083,0.8473209681364448,1.1089179611416853,0,0,0,,,,0,1,0
2022-09-02 14:20:00,262.547,263.217,262.366,262.837,2.1996,260.485490436699,0.6431395187684436,257.35003735620353,260.57455,263.79906264379645,2.4749252325650826,0.8508204572174123,1.2101688699244164,0,0,0,,,,0,1,0
2022-09-02 14:25:00,262.856,263.387,262.797,263.357,2.2944,260.7063757877222,0.6529162793638809,257.473401926715,260.80355,264.13369807328496,2.5537597730437245,0.8833838531812238,1.3592703731150664,0,0,0,,,,0,1,0
2022-09-02 14:30:00,263.387,264.057,263.296,263.947,2.2992,260.95565457328206,0.6624693910043914,257.59757368421486,261.06104999999997,264.52452631578507,2.653384191770547,0.9166262068614506,1.493472682297977,0,0,0,,,,0,1,0
2022-09-02 14:35:00,263.967,264.377,263.916,264.317,2.22,261.21421960610655,0.6707195795572083,257.8325207851858,261.35455,264.8765792148142,2.695211707478757,0.9205601117020066,1.6352449749925881,0,0,0,,,,0,1,0
2022-09-02 14:40:00,264.297,264.717,264.256,264.336,2.0244,261.45435655948296,0.6783813392391405,258.1805781978845,261.65250000000003,265.1244218021156,2.6538418720368115,0.8864574366802894,1.6910241565627189,0,0,0,,,,0,1,0
2022-09-02 14:45:00,264.346,264.377,263.826,263.867,2.1012,261.63994451644584,0.6855212053608261,258.6417408974594,261.92105000000004,265.2003591025407,2.5040439495341444,0.7967012164989805,1.620713613707096,0,0,0,,,,0,1,0
2022-09-02 14:50:00,263.886,264.066,263.086,263.096,2.2332,261.7519487844116,0.692716183800742,259.2107002440073,262.14605,265.0813997559927,2.239476624570706,0.6618120631213731,1.361149075619494,0,0,0,,,,0,1,0
2022-09-02 14:55:00,263.117,263.307,262.586,263.256,2.37,261.86764503176454,0.6997321392166217,259.8726631540361,262.37455,264.8764368459639,1.9071109190764846,0.6761570475143488,1.0630671827690321,0,0,0,,,,0,1,0
2022-09-02 15:00:00,263.246,263.597,263.036,263.557,2.274,261.9975954139365,0.7055050059074474,260.375920192727,262.57305,264.77017980727305,1.6735379409829219,0.7239171296895799,0.8743691596205849,0,0,0,,,,0,1,0
2022-09-02 15:05:00,263.566,263.766,263.256,263.396,2.0448,262.10516499747985,0.7101923368245242,260.69536952515193,262.71455000000003,264.73373047484813,1.5371668412336499,0.6687442030290157,0.7883779841149021,0,0,0,,,,0,1,0
2022-09-02 15:10:00,263.417,263.727,263.236,263.497,2.2872,262.21222922844294,0.7136592207848257,260.8722145761149,262.8206,264.7689854238851,1.4826732941672756,0.6735796192344872,0.7728093608407676,0,0,0,,,,0,1,0
2022-09-02 15:15:00,263.517,263.787,263.206,263.716,2.1888,262.3279039031781,0.7168091426050169,260.93664198788,262.89804999999996,264.8594580121199,1.492143446571728,0.7085109255559722,0.7792987169844992,0,0,0,,,,0,1,0
2022-09-02 15:20:00,263.717,263.777,263.536,263.627,2.1312,262.4278343721644,0.718852373141529,261.1936861174026,263.01855,264.8434138825974,1.3876313154318678,0.6667110642613985,0.7605078536654446,0,0,0,,,,0,1,0
2022-09-02 15:25:00,263.627,263.697,263.376,263.667,2.1672,262.52315480507485,0.7204894535132366,261.3284990569203,263.1046,264.8807009430797,1.3501101410463456,0.658324334602509,0.7762621549984488,0,0,0,,,,0,1,0
2022-09-02 15:30:00,263.676,263.947,263.466,263.646,2.412,262.6095275123768,0.7219867615155591,261.4128437658449,263.1691,264.9253562341551,1.3346979065210185,0.635771760044293,0.7729592354148735,0,0,0,,,,0,1,0
2022-09-02 15:35:00,263.656,263.887,263.426,263.757,2.4168000000000003,262.69779462680935,0.7233567288527508,261.64331981564806,263.27365,264.9039801843519,1.238506158403562,0.6482368432601181,0.7014305188250205,0,0,0,,,,0,1,0
2022-09-02 15:40:00,263.756,263.807,263.006,263.266,2.4144,262.7415027324394,0.7252986513886159,262.08834791320135,263.38160000000005,264.67485208679875,0.9820367761443488,0.4553064707259883,0.40892619894111704,0,0,0,,,,0,1,0
2022-09-02 15:45:00,263.277,263.957,263.246,263.816,1.8804,262.8241563684056,0.7276288997116158,262.5202686580358,263.49705,264.4738313419642,0.7413983131607937,0.6632658130828903,0.11532696723588742,0,0,0,,,,0,1,0
2022-09-02 15:50:00,263.856,264.017,263.606,263.707,1.8108,262.89206741698985,0.7286229689449235,262.71113089520014,263.5606,264.4100691047999,0.644610085725924,0.5861714682574952,0.03532705147421211,0,0,0,,,,0,1,0
2022-09-02 15:55:00,263.706,263.757,263.276,263.357,1.6632000000000002,262.9278314618368,0.7278291711532376,262.88148179566554,263.60110000000003,264.3207182043345,0.545990289368667,0.33039617499271884,-0.048715082007788624,2,0,0,262.776,,,0,1,0
2022-09-02 16:00:00,263.377,263.437,262.886,263.006,2.0052,262.9338444263109,0.72539931891283,262.92280129049294,263.60955,264.2962987095071,0.5210347724557561,0.06057434717769473,-0.04823616861216351,2,0,0,262.386,,,0,1,0
2022-09-02 16:05:00,262.997,263.087,262.726,262.887,1.7592,262.9302410089024,0.7215213232386205,262.8370011431091,263.58605,264.3350988568909,0.5683524275210381,0.03337489699833472,0.06061491954494613,0,0,0,,,,0,1,0
2022-09-02 16:10:00,262.867,262.957,262.606,262.676,1.9692,262.9106840082176,0.7158693311496183,262.6951542439769,263.5225,264.34984575602306,0.6279128013912119,-0.011575719001077093,0.16074124128147105,0,0,0,,,,0,1,0
2022-09-02 16:15:00,262.676,262.697,262.066,262.087,2.424,262.84732369989314,0.7102207513663221,262.4514907504306,263.411,264.3705092495694,0.7285263330456264,-0.18993602750269203,0.26141468861277417,0,0,0,,,,0,1,0
2022-09-02 16:20:00,262.067,262.196,261.046,261.446,3.3516,262.7395295691321,0.7054009372216096,262.0672264698957,263.2665,264.46577353010434,0.9110718835129691,-0.25900115957766534,0.3912594035244865,0,0,0,,,,0,1,0
2022-09-02 16:25:00,261.467,261.496,260.866,261.147,2.9904,262.6170272945835,0.699685332989175,261.6504293935732,263.1305,264.6105706064268,1.124970770341566,-0.1700693843209841,0.6948673490450119,0,0,0,,,,0,1,0
2022-09-02 16:30:00,261.156,261.457,260.667,260.877,3.3012,262.483179041154,0.6938508379369253,261.2428159765715,263.01955,264.7962840234285,1.3510281067916838,-0.10294618433252209,1.019504885797346,0,0,0,,,,0,1,0
2022-09-02 16:35:00,260.877,260.927,259.956,260.227,3.0084,262.3096268072191,0.6889573020178693,260.7201892104168,262.8681,265.0160107895833,1.634211826831213,-0.11480672586790554,1.3923534745836719,0,0,0,,,,0,1,0
