Gmt time,open,high,low,close,volume,EMA,EMASignal,isPivot,pointpos,pattern_detected,pointBreak
04.05.2003 21:00:00.000,1.12284,1.12338,1.12242,1.12305,29059099.6094,1.12305,0,0,,0,0.0
04.05.2003 22:00:00.000,1.12274,1.12302,1.12226,1.12241,26091800.7813,1.1230007692307693,0,0,,0,0.0
04.05.2003 23:00:00.000,1.12235,1.12235,1.1216,1.12169,29240900.3906,1.1228999408284026,0,0,,0,0.0
05.05.2003 00:00:00.000,1.12161,1.12314,1.12154,1.12258,29914800.7813,1.1228753299954486,0,0,,0,0.0
05.05.2003 01:00:00.000,1.12232,1.12262,1.12099,1.1214,28370699.2188,1.1227618430727218,0,0,,0,0.0
05.05.2003 02:00:00.000,1.12141,1.12211,1.12085,1.12152,29867699.2188,1.1226663166825124,0,0,,0,0.0
05.05.2003 03:00:00.000,1.12123,1.12179,1.12049,1.12162,27256800.7813,1.1225858307838577,0,0,,0,0.0
05.05.2003 04:00:00.000,1.12098,1.12176,1.12079,1.12122,28278900.3906,1.122480766877407,0,0,,0,0.0
05.05.2003 05:00:00.000,1.12129,1.12222,1.12091,1.12143,26764900.3906,1.1223999386560681,0,0,,0,0.0
05.05.2003 06:00:00.000,1.12128,1.12241,1.12066,1.12088,29956599.6094,1.1222830202979093,0,0,,0,0.0
05.05.2003 07:00:00.000,1.12103,1.12203,1.12014,1.12143,27322800.7813,1.1222174033519163,0,2,1.11914,0,0.0
05.05.2003 08:00:00.000,1.12129,1.12205,1.12054,1.12093,25939900.3906,1.122118372324846,0,0,,0,0.0
05.05.2003 09:00:00.000,1.12082,1.12161,1.12042,1.12118,27366000.0,1.1220461898383196,0,0,,0,0.0
05.05.2003 10:00:00.000,1.1209,1.12289,1.12071,1.12213,27687500.0,1.1220526367738335,0,0,,0,0.0
05.05.2003 11:00:00.000,1.12252,1.12321,1.12144,1.12241,27812599.6094,1.1220801262527695,0,0,,0,0.0
