Gmt time,Open,High,Low,Close,Volume,EMA,EMASignal,isPivot,pointpos,pattern_detected,pointBreak
01.09.2022 13:30:00.000,259.337,259.547,257.896,257.927,2.0268,257.927,0,0,,0,0
01.09.2022 13:35:00.000,257.967,258.957,257.926,258.576,2.226,257.97692307692313,0,0,,0,0
01.09.2022 13:40:00.000,258.547,259.377,258.396,258.737,2.2716000000000003,258.03539053254445,0,0,,0,0
01.09.2022 13:45:00.000,258.687,259.277,258.466,258.766,2.7444,258.0915912608103,0,0,,0,0
01.09.2022 13:50:00.000,258.726,259.147,258.496,259.087,2.4504,258.1681611638249,0,0,,0,0
01.09.2022 13:55:00.000,259.086,259.557,258.516,259.396,2.1108,258.26261030506913,0,0,,0,0
01.09.2022 14:00:00.000,259.397,259.797,258.256,258.326,3.0468,258.26748643544846,0,0,,0,0
01.09.2022 14:05:00.000,258.327,258.757,258.156,258.336,2.5692,258.27275670964474,0,0,,0,0
01.09.2022 14:10:00.000,258.336,258.517,257.696,257.706,2.3616,258.2291600396721,0,0,,0,0
01.09.2022 14:15:00.000,257.707,257.847,257.496,257.746,2.1732,258.1919938827742,0,0,,0,0
01.09.2022 14:20:00.000,257.727,258.296,257.607,258.296,2.1036,258.19999435333006,0,0,,0,0
01.09.2022 14:25:00.000,258.276,258.526,258.036,258.426,2.31,258.2173794030739,0,0,,0,0
01.09.2022 14:30:00.000,258.447,258.486,257.777,257.806,2.2884,258.18573483360666,0,0,,0,0
01.09.2022 14:35:00.000,257.786,257.807,256.536,256.686,2.1096000000000004,258.07037061563693,0,0,,0,0
01.09.2022 14:40:00.000,256.686,256.797,256.196,256.357,2.3952,257.93857287597257,0,0,,0,0
01.09.2022 14:45:00.000,256.357,256.417,255.996,256.217,2.1552,257.80614419320545,0,0,,0,0
01.09.2022 14:50:00.000,256.217,256.756,256.176,256.407,2.2248,257.69851771680504,0,0,,0,0
01.09.2022 14:55:00.000,256.407,256.617,255.666,255.666,2.3148000000000004,257.54217020012777,0,0,,0,0
01.09.2022 15:00:00.000,255.666,256.097,255.666,255.937,2.382,257.4186955693487,0,0,,0,0
01.09.2022 15:05:00.000,255.936,256.927,255.896,256.606,2.7984,257.35618052555265,0,0,,0,0
01.09.2022 15:10:00.000,256.566,256.947,256.546,256.706,2.2896,257.3061666389717,0,0,,0,0
01.09.2022 15:15:00.000,256.696,256.936,256.366,256.547,2.43,257.2477692052047,0,0,,0,0
01.09.2022 15:20:00.000,256.536,256.556,255.906,256.276,2.2824,257.1730177278813,0,0,,0,0
01.09.2022 15:25:00.000,256.276,256.367,255.816,255.996,1.9572,257.08247790265966,0,0,,0,0
01.09.2022 15:30:00.000,256.007,256.636,255.956,256.387,2.5008,257.0289796024551,0,0,,0,0
01.09.2022 15:35:00.000,256.397,256.867,256.246,256.276,2.2356,256.97105809457395,0,0,,0,0
01.09.2022 15:40:00.000,256.277,256.417,255.616,255.616,2.2044,256.86682285652984,0,0,,0,0
01.09.2022 15:45:00.000,255.616,255.747,255.447,255.696,1.7412,256.7767595598737,0,0,,0,0
01.09.2022 15:50:00.000,255.676,255.867,255.396,255.677,2.0652,256.6921626706527,0,2,253.396,0,0
01.09.2022 15:55:00.000,255.676,255.786,255.396,255.786,1.9452,256.62245784983327,0,2,253.396,0,0
